grupo_espacial,senal__textil,senal__mezclilla,senal__humedo_explicito,senal__lavado_generico,senal__produccion,senal__maquila,senal__proceso_seco_explicito,senal__scian_textil,senal__scian_acabado_humedo,senal__scian_lavanderia,senal__actividad_lavanderia_tintoreria,senal__actividad_acabado_textil,senal__actividad_confeccion,senal__actividad_fabricacion_telas,senal__actividad_tejido_hilado,senal__actividad_bordado_deshilado,senal__senal_pantalon,senal__senal_mezclilla_o_pantalon,scian3__313,scian3__314,scian3__315,scian3__812,personal__0 a 5 personas,personal__101 a 250 personas,personal__11 a 30 personas,personal__251 y más personas,personal__31 a 50 personas,personal__51 a 100 personas,personal__6 a 10 personas
CLUSTER_004,0.2857142857142857,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.6071428571428571,0.07142857142857142,0.9285714285714286,0.0,0.07142857142857142,0.07142857142857142,0.0,0.7857142857142857,0.0,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
CLUSTER_005,0.2727272727272727,0.0,0.0,0.06060606060606061,0.12121212121212122,0.6363636363636364,0.2727272727272727,0.9393939393939394,0.0,0.06060606060606061,0.06060606060606061,0.0,0.7878787878787878,0.06060606060606061,0.09090909090909091,0.0,0.0,0.0,0.06060606060606061,0.0,0.8787878787878788,0.06060606060606061,0.8787878787878788,0.0,0.030303030303030304,0.0,0.0,0.0,0.09090909090909091
CLUSTER_006,0.2,0.0,0.0,0.0,0.1,0.8,0.15,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CLUSTER_007,0.24242424242424243,0.04040404040404041,0.050505050505050504,0.37373737373737376,0.1717171717171717,0.030303030303030304,0.13131313131313133,0.5555555555555556,0.010101010101010102,0.4444444444444444,0.4444444444444444,0.010101010101010102,0.31313131313131315,0.0707070707070707,0.08080808080808081,0.0707070707070707,0.030303030303030304,0.050505050505050504,0.13131313131313133,0.08080808080808081,0.3434343434343434,0.4444444444444444,0.7575757575757576,0.020202020202020204,0.0707070707070707,0.020202020202020204,0.020202020202020204,0.06060606060606061,0.050505050505050504
CLUSTER_008,0.45103857566765576,0.12759643916913946,0.01483679525222552,0.05341246290801187,0.14836795252225518,0.5578635014836796,0.1572700296735905,0.9198813056379822,0.011869436201780416,0.08011869436201781,0.08011869436201781,0.011869436201780416,0.857566765578635,0.01483679525222552,0.017804154302670624,0.09792284866468842,0.3590504451038576,0.4065281899109792,0.01483679525222552,0.02967359050445104,0.8753709198813057,0.08011869436201781,0.7952522255192879,0.0,0.03560830860534125,0.0,0.002967359050445104,0.005934718100890208,0.16023738872403562
CLUSTER_009,0.16666666666666666,0.0,0.0,0.0,0.2,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.8,0.0,0.0,0.0,0.0,0.03333333333333333,0.9666666666666667,0.0,0.7666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.16666666666666666
CLUSTER_010,0.035211267605633804,0.0,0.02112676056338028,0.014084507042253521,0.2112676056338028,0.09154929577464789,0.014084507042253521,0.9647887323943662,0.007042253521126761,0.035211267605633804,0.035211267605633804,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.9507042253521126,0.0,0.0,0.0,0.007042253521126761,0.0,0.9577464788732394,0.035211267605633804,0.5140845070422535,0.0,0.1267605633802817,0.0,0.0,0.007042253521126761,0.352112676056338
CLUSTER_011,0.375,0.0,0.0,0.125,0.25,0.0,0.375,0.875,0.0,0.125,0.125,0.0,0.375,0.0,0.0,0.25,0.0,0.0,0.0,0.375,0.5,0.125,0.75,0.0,0.0,0.0,0.0,0.0,0.25
CLUSTER_012,0.65625,0.08482142857142858,0.0,0.05803571428571429,0.21428571428571427,0.25,0.48660714285714285,0.9285714285714286,0.013392857142857142,0.07142857142857142,0.07142857142857142,0.013392857142857142,0.8392857142857143,0.013392857142857142,0.017857142857142856,0.05357142857142857,0.08482142857142858,0.13839285714285715,0.013392857142857142,0.049107142857142856,0.8660714285714286,0.07142857142857142,0.8883928571428571,0.0,0.013392857142857142,0.0,0.0,0.0,0.09821428571428571
CLUSTER_013,0.5302013422818792,0.0,0.0,0.0738255033557047,0.09395973154362416,0.3691275167785235,0.47651006711409394,0.9194630872483222,0.0,0.08053691275167785,0.08053691275167785,0.0,0.8120805369127517,0.0,0.03355704697986577,0.040268456375838924,0.0,0.0,0.0,0.06711409395973154,0.8523489932885906,0.08053691275167785,0.8791946308724832,0.0,0.06040268456375839,0.0,0.0,0.0,0.06040268456375839
CLUSTER_014,0.42857142857142855,0.0,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.0,0.42857142857142855,0.6428571428571429,0.0,0.35714285714285715,0.35714285714285715,0.0,0.42857142857142855,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.42857142857142855,0.35714285714285715,0.7857142857142857,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285
CLUSTER_015,0.22826086956521738,0.0,0.06521739130434782,0.3804347826086957,0.13043478260869565,0.11956521739130435,0.18478260869565216,0.5108695652173914,0.0,0.4891304347826087,0.4891304347826087,0.0,0.40217391304347827,0.010869565217391304,0.010869565217391304,0.05434782608695652,0.0,0.0,0.010869565217391304,0.08695652173913043,0.41304347826086957,0.4891304347826087,0.9239130434782609,0.0,0.021739130434782608,0.0,0.0,0.0,0.05434782608695652
CLUSTER_016,0.21568627450980393,0.0,0.0196078431372549,0.1568627450980392,0.058823529411764705,0.45098039215686275,0.17647058823529413,0.8431372549019608,0.0196078431372549,0.1568627450980392,0.1568627450980392,0.0196078431372549,0.7058823529411765,0.0196078431372549,0.0196078431372549,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.09803921568627451,0.7254901960784313,0.1568627450980392,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
CLUSTER_017,0.24444444444444444,0.0,0.0,0.13333333333333333,0.1111111111111111,0.17777777777777778,0.24444444444444444,0.8666666666666667,0.0,0.13333333333333333,0.13333333333333333,0.0,0.8444444444444444,0.0,0.0,0.022222222222222223,0.0,0.0,0.0,0.022222222222222223,0.8444444444444444,0.13333333333333333,0.9777777777777777,0.0,0.022222222222222223,0.0,0.0,0.0,0.0
CLUSTER_018,0.46875,0.0,0.0625,0.3125,0.1875,0.03125,0.28125,0.59375,0.0,0.40625,0.40625,0.0,0.40625,0.0,0.0,0.09375,0.0,0.0,0.0,0.1875,0.40625,0.40625,0.9375,0.0,0.03125,0.0,0.0,0.0,0.03125
CLUSTER_019,0.39,0.01,0.01,0.08,0.35,0.44,0.23,0.91,0.0,0.09,0.09,0.0,0.76,0.02,0.04,0.1,0.0,0.01,0.02,0.09,0.8,0.09,0.93,0.0,0.01,0.0,0.0,0.0,0.06
CLUSTER_020,0.14271407110665998,0.0015022533800701052,0.15673510265398097,0.4361542313470205,0.08462694041061593,0.021532298447671506,0.08462694041061593,0.40660991487230846,0.010015022533800702,0.5933900851276915,0.5933900851276915,0.010015022533800702,0.20881321982974463,0.053079619429143715,0.05808713069604406,0.037055583375062595,0.000500751126690035,0.00200300450676014,0.08362543815723586,0.08162243365047571,0.24136204306459688,0.5933900851276915,0.8447671507260891,0.014021031547320982,0.05157736604907361,0.006509764646970456,0.015022533800701052,0.015022533800701052,0.053079619429143715
CLUSTER_021,0.03225806451612903,0.0,0.06451612903225806,0.3870967741935484,0.06451612903225806,0.03225806451612903,0.0,0.5806451612903226,0.0,0.41935483870967744,0.41935483870967744,0.0,0.25806451612903225,0.0967741935483871,0.06451612903225806,0.03225806451612903,0.0,0.0,0.16129032258064516,0.12903225806451613,0.2903225806451613,0.41935483870967744,0.8387096774193549,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.06451612903225806
