localidad_id,categoria_relevancia_ambiental,establecimientos
Analco de Ponciano Arriaga (Santa Cruz Analco),alta_relevancia_ambiental,3
Analco de Ponciano Arriaga (Santa Cruz Analco),media_relevancia_ambiental,2
Analco de Ponciano Arriaga (Santa Cruz Analco),revisar,1
Domingo Arenas,alta_relevancia_ambiental,1
Domingo Arenas,media_relevancia_ambiental,4
Domingo Arenas,revisar,4
Huejotzingo,alta_relevancia_ambiental,33
Huejotzingo,media_relevancia_ambiental,26
Huejotzingo,revisar,23
Los Volcanes,alta_relevancia_ambiental,2
Los Volcanes,media_relevancia_ambiental,2
Rancho de los Caballos,alta_relevancia_ambiental,4
Rancho de los Caballos,media_relevancia_ambiental,1
Rancho de los Caballos,revisar,1
San Diego Xocoyucan,revisar,1
San Gregorio Aztotoacan,alta_relevancia_ambiental,2
San Gregorio Aztotoacan,media_relevancia_ambiental,7
San Juan Tuxco,alta_relevancia_ambiental,3
San Juan Tuxco,media_relevancia_ambiental,5
San Juan Tuxco,revisar,1
San Lucas el Grande,alta_relevancia_ambiental,9
San Lucas el Grande,media_relevancia_ambiental,20
San Lucas el Grande,revisar,6
San Martín Texmelucan de Labastida,alta_relevancia_ambiental,67
San Martín Texmelucan de Labastida,media_relevancia_ambiental,264
San Martín Texmelucan de Labastida,revisar,69
San Mateo Ayecac,alta_relevancia_ambiental,1
San Mateo Ayecac,media_relevancia_ambiental,9
San Mateo Ayecac,revisar,2
San Mateo Capultitlán,media_relevancia_ambiental,20
San Mateo Capultitlán,revisar,6
San Miguel Tianguizolco,alta_relevancia_ambiental,4
San Rafael Tlanalapan,alta_relevancia_ambiental,15
San Rafael Tlanalapan,media_relevancia_ambiental,29
San Rafael Tlanalapan,revisar,8
San Simón Atzitzintla,alta_relevancia_ambiental,2
San Simón Atzitzintla,media_relevancia_ambiental,1
Santa Ana Xalmimilulco,alta_relevancia_ambiental,20
Santa Ana Xalmimilulco,media_relevancia_ambiental,236
Santa Ana Xalmimilulco,revisar,43
Santa María Moyotzingo,alta_relevancia_ambiental,1
Santa María Moyotzingo,media_relevancia_ambiental,17
Santa María Moyotzingo,revisar,3
Santiago Michac,alta_relevancia_ambiental,1
Santiago Michac,media_relevancia_ambiental,16
Santiago Michac,revisar,2
Tepetitla,alta_relevancia_ambiental,1
Tepetitla,media_relevancia_ambiental,7
Tepetitla,revisar,2
Tlacotepec de José Manzo,alta_relevancia_ambiental,2
Tlacotepec de José Manzo,media_relevancia_ambiental,8
Tlacotepec de José Manzo,revisar,2
Valle de San Miguel,alta_relevancia_ambiental,1
Valle de San Miguel,media_relevancia_ambiental,1
Valle de San Miguel,revisar,1
Villa Alta,alta_relevancia_ambiental,12
Villa Alta,media_relevancia_ambiental,18
Villa Alta,revisar,6
Área 4 la Trinidad [Ciudad Textil],alta_relevancia_ambiental,1
,alta_relevancia_ambiental,1
,media_relevancia_ambiental,6
,revisar,1
