ano_censal,entidad,municipio,estrato,actividad_economica,h001a_personal_ocupado_total,h020a_personas_propietarias_familiares_y_otro_personal_no_remunerado_total,h010a_personal_remunerado_total,ue_unidades_economicas,k000a_total_de_gastos_por_consumo_de_bienes_y_servicios_millones_de_pesos,m000a_total_de_ingresos_por_suministro_de_bienes_y_servicios_millones_de_pesos,a111a_produccion_bruta_total_millones_de_pesos,a131a_valor_agregado_censal_bruto_millones_de_pesos,m700a_ingresos_por_maquilar_o_transformar_materias_primas_propiedad_de_terceros_millones_de_pesos,ue,h001a,h020a,h010a,k000a,m000a,a111a,a131a,m700a,municipio_clave,municipio_nombre,actividad_codigo,actividad_nombre,personal_promedio,proporcion_familiar,proporcion_remunerado,ingresos_por_ue,produccion_por_ue,valor_agregado_por_ue,maquila_sobre_ingresos,nota_metodologica
2023,21 Puebla,,0 a 10,Subsector 313 Fabricación de insumos textiles y acabado de textiles,4105.0,3692.0,404.0,2997.0,153.664,280.753,278.553,125.463,23.572,2997.0,4105.0,3692.0,404.0,153.664,280.753,278.553,125.463,23.572,,Puebla total,313,Fabricación de insumos textiles y acabado de textiles,1.3697030363697031,0.8993909866017052,0.09841656516443362,0.093678011344678,0.09294394394394394,0.04186286286286286,0.0839599220667277,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,,11 a 50,Subsector 313 Fabricación de insumos textiles y acabado de textiles,1594.0,63.0,1503.0,73.0,979.809,1385.456,1364.231,388.8,93.314,73.0,1594.0,63.0,1503.0,979.809,1385.456,1364.231,388.8,93.314,,Puebla total,313,Fabricación de insumos textiles y acabado de textiles,21.835616438356166,0.039523212045169384,0.9429109159347553,18.97884931506849,18.68809589041096,5.326027397260274,0.06735255396057327,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,,51 a 250,Subsector 313 Fabricación de insumos textiles y acabado de textiles,7415.0,289.0,7106.0,67.0,5001.022,7804.185,7534.025,2867.358,753.018,67.0,7415.0,289.0,7106.0,5001.022,7804.185,7534.025,2867.358,753.018,,Puebla total,313,Fabricación de insumos textiles y acabado de textiles,110.67164179104478,0.03897505057316251,0.9583277140930546,116.48037313432836,112.44813432835821,42.79638805970149,0.09648899917159831,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,,0 a 10,Subsector 315 Fabricación de prendas de vestir,16030.0,9022.0,6902.0,6137.0,753.363,1828.429,1827.137,1075.598,776.44,6137.0,16030.0,9022.0,6902.0,753.363,1828.429,1827.137,1075.598,776.44,,Puebla total,315,Fabricación de prendas de vestir,2.612025419586117,0.5628197130380537,0.43056768558951963,0.2979353104122536,0.2977247840964641,0.17526446146325567,0.42464870115273823,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,,11 a 50,Subsector 315 Fabricación de prendas de vestir,15891.0,792.0,14932.0,757.0,1634.179,3810.157,3735.779,2158.229,1950.031,757.0,15891.0,792.0,14932.0,1634.179,3810.157,3735.779,2158.229,1950.031,,Puebla total,315,Fabricación de prendas de vestir,20.992073976221928,0.04983953181045875,0.9396513749921339,5.03323249669749,4.934978863936592,2.851029062087186,0.5117980702632463,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,,51 a 250,Subsector 315 Fabricación de prendas de vestir,13316.0,91.0,13172.0,146.0,3822.727,6606.608,6539.13,2726.184,2690.475,146.0,13316.0,91.0,13172.0,3822.727,6606.608,6539.13,2726.184,2690.475,,Puebla total,315,Fabricación de prendas de vestir,91.20547945205479,0.0068338840492640435,0.9891859417242416,45.2507397260274,44.788561643835614,18.672493150684932,0.40723999365483765,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,074 Huejotzingo,0 a 10,Subsector 313 Fabricación de insumos textiles y acabado de textiles,21.0,7.0,14.0,5.0,4.063,5.013,4.981,0.918,4.031,5.0,21.0,7.0,14.0,4.063,5.013,4.981,0.918,4.031,074,Huejotzingo,313,Fabricación de insumos textiles y acabado de textiles,4.2,0.3333333333333333,0.6666666666666666,1.0026,0.9962,0.1836,0.8041093157789746,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,074 Huejotzingo,11 a 50,Subsector 313 Fabricación de insumos textiles y acabado de textiles,169.0,0.0,169.0,6.0,107.025,166.013,161.93,54.905,11.465,6.0,169.0,0.0,169.0,107.025,166.013,161.93,54.905,11.465,074,Huejotzingo,313,Fabricación de insumos textiles y acabado de textiles,28.166666666666668,0.0,1.0,27.668833333333335,26.988333333333333,9.150833333333333,0.06906085667989856,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,074 Huejotzingo,51 a 250,Subsector 313 Fabricación de insumos textiles y acabado de textiles,1043.0,1.0,1042.0,10.0,1056.479,1443.415,1434.199,404.811,45.86,10.0,1043.0,1.0,1042.0,1056.479,1443.415,1434.199,404.811,45.86,074,Huejotzingo,313,Fabricación de insumos textiles y acabado de textiles,104.3,0.0009587727708533077,0.9990412272291467,144.3415,143.4199,40.4811,0.03177187433967362,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,074 Huejotzingo,0 a 10,"Subsector 314 Fabricación de productos textiles, excepto prendas de vestir",44.0,28.0,14.0,19.0,1.963,3.353,3.463,1.5,0.755,19.0,44.0,28.0,14.0,1.963,3.353,3.463,1.5,0.755,074,Huejotzingo,314,"Fabricación de productos textiles, excepto prendas de vestir",2.3157894736842106,0.6363636363636364,0.3181818181818182,0.17647368421052634,0.18226315789473685,0.07894736842105263,0.22517148821950492,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,074 Huejotzingo,11 a 50,"Subsector 314 Fabricación de productos textiles, excepto prendas de vestir",47.0,3.0,44.0,3.0,14.543,20.682,22.682,8.139,0.0,3.0,47.0,3.0,44.0,14.543,20.682,22.682,8.139,0.0,074,Huejotzingo,314,"Fabricación de productos textiles, excepto prendas de vestir",15.666666666666666,0.06382978723404255,0.9361702127659575,6.893999999999999,7.560666666666666,2.7129999999999996,0.0,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,132 San Martín Texmelucan,0 a 10,"Subsector 314 Fabricación de productos textiles, excepto prendas de vestir",70.0,38.0,32.0,28.0,7.287,13.335,12.932,5.645,0.546,28.0,70.0,38.0,32.0,7.287,13.335,12.932,5.645,0.546,132,San Martín Texmelucan,314,"Fabricación de productos textiles, excepto prendas de vestir",2.5,0.5428571428571428,0.45714285714285713,0.47625,0.46185714285714285,0.20160714285714285,0.04094488188976378,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,132 San Martín Texmelucan,0 a 10,Subsector 315 Fabricación de prendas de vestir,753.0,465.0,277.0,303.0,51.713,111.623,108.177,56.464,28.99,303.0,753.0,465.0,277.0,51.713,111.623,108.177,56.464,28.99,132,San Martín Texmelucan,315,Fabricación de prendas de vestir,2.485148514851485,0.6175298804780877,0.36786188579017265,0.3683927392739274,0.35701980198019806,0.18634983498349836,0.25971349990593334,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
2023,21 Puebla,132 San Martín Texmelucan,11 a 50,Subsector 315 Fabricación de prendas de vestir,297.0,32.0,255.0,18.0,24.362,58.555,56.07,31.708,12.286,18.0,297.0,32.0,255.0,24.362,58.555,56.07,31.708,12.286,132,San Martín Texmelucan,315,Fabricación de prendas de vestir,16.5,0.10774410774410774,0.8585858585858586,3.2530555555555556,3.115,1.7615555555555555,0.20981982751259498,SAIC a nivel municipal/entidad; Xalmimilulco se analiza espacialmente con DENUE.
